,0
533,1
534,1
535,1
536,0
537,0
538,1
539,1
540,0
541,1
542,1
543,1
544,0
545,1
546,0
547,0
548,0
549,1
550,1
551,0
552,1
553,0
554,1
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,1
582,1
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,1
614,0
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,0
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,1
654,1
655,1
656,0
657,0
658,1
659,0
660,1
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,1
677,1
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,0
687,1
688,1
689,1
690,0
691,1
692,1
693,1
694,0
695,0
696,0
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,0
729,1
730,0
731,0
732,1
733,1
734,0
735,0
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,0
746,1
747,0
748,1
749,1
750,0
751,1
752,0
753,0
754,1
755,0
756,1
757,1
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,0
775,1
776,1
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,0
810,0
811,0
812,1
813,0
814,0
815,1
816,0
817,1
818,1
819,0
820,1
821,1
822,1
823,1
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,1
832,1
833,1
834,0
835,0
836,1
837,0
838,1
839,1
840,1
841,1
842,0
843,0
844,1
845,0
846,1
847,1
848,1
849,0
850,1
851,0
852,1
853,1
854,0
855,1
856,1
857,0
858,1
859,1
860,1
861,1
862,1
863,1
864,0
865,0
866,1
867,0
868,0
869,1
870,1
871,0
872,1
873,1
874,1
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,1
883,1
884,0
885,0
886,0
887,0
888,0
889,1
890,1
891,1
892,0
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,0
901,0
902,1
903,1
904,0
905,0
906,1
907,0
908,1
909,1
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,0
918,1
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,1
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,1
935,0
936,1
937,0
938,0
939,0
940,1
941,0
942,1
943,1
944,1
945,1
946,0
947,0
948,1
949,1
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,1
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,1
970,0
971,1
972,1
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,1
995,1
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,1
1009,1
1010,0
1011,0
1012,1
1013,1
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,0
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,1
1032,1
1033,0
1034,0
1035,1
1036,0
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,0
1051,1
1052,1
1053,0
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,1
1061,1
1062,0
1063,1
1064,0
1065,1
1066,0
1067,0
1068,1
1069,0
1070,1
1071,0
1072,1
1073,1
1074,1
1075,0
1076,1
1077,0
1078,1
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,1
1109,1
1110,1
1111,1
1112,0
1113,1
1114,1
1115,0
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,1
1127,0
1128,0
1129,0
1130,1
1131,0
1132,1
1133,0
1134,0
1135,1
1136,1
1137,0
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,1
1155,0
1156,1
1157,0
1158,1
1159,0
1160,1
1161,1
1162,1
1163,0
1164,1
1165,1
1166,0
1167,1
1168,1
1169,0
1170,1
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,1
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,0
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,1
1204,0
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,1
1218,0
1219,1
1220,1
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,1
1228,0
1229,1
1230,0
1231,1
1232,0
1233,0
1234,1
1235,0
1236,0
1237,1
1238,1
1239,1
1240,0
1241,1
1242,0
1243,0
1244,1
1245,0
1246,1
1247,1
1248,0
1249,0
1250,1
1251,0
1252,0
1253,1
1254,0
1255,1
1256,0
1257,1
1258,0
1259,1
1260,0
1261,1
1262,0
1263,0
1264,0
1265,0
1266,1
1267,1
1268,0
1269,0
1270,0
1271,0
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,0
1281,0
1282,1
1283,0
1284,1
1285,0
1286,1
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,1
1294,0
1295,0
1296,0
1297,1
1298,0
1299,1
1300,1
1301,1
1302,1
1303,0
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
1310,1
1311,0
1312,1
1313,0
1314,1
1315,1
1316,1
1317,0
1318,0
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,0
1327,1
1328,1
1329,0
1330,1
1331,0
1332,0
1333,0
1334,0
1335,1
1336,0
1337,1
1338,0
1339,1
1340,1
1341,1
1342,1
1343,1
1344,0
1345,0
1346,0
1347,0
1348,1
1349,0
1350,1
1351,0
1352,0
1353,1
1354,1
1355,0
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,0
1366,0
1367,0
1368,0
1369,1
1370,1
1371,1
1372,0
1373,0
1374,0
1375,0
1376,1
1377,1
1378,1
1379,1
1380,1
1381,0
1382,1
1383,0
1384,1
1385,1
1386,0
1387,1
1388,0
1389,0
1390,0
1391,0
1392,0
1393,1
1394,0
1395,0
1396,1
1397,1
1398,1
1399,0
1400,1
1401,1
1402,0
1403,1
1404,1
1405,0
1406,1
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,1
1414,0
1415,0
1416,0
1417,0
1418,1
1419,1
1420,0
1421,0
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,0
1429,0
1430,0
1431,0
1432,1
1433,1
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,1
1442,0
1443,1
1444,0
1445,1
1446,0
1447,0
1448,0
1449,1
1450,0
1451,0
1452,1
1453,1
1454,0
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,0
1462,0
1463,0
1464,1
1465,1
1466,1
1467,0
1468,0
1469,0
1470,1
1471,0
1472,0
1473,1
1474,1
1475,0
1476,0
1477,0
1478,0
1479,1
1480,0
1481,0
1482,0
1483,0
1484,0
1485,1
1486,0
1487,0
1488,1
1489,1
1490,1
1491,1
1492,0
1493,0
1494,0
1495,1
1496,0
1497,0
1498,0
1499,1
1500,1
1501,1
1502,1
1503,1
1504,0
1505,1
1506,0
1507,0
1508,1
1509,1
1510,0
1511,1
1512,0
1513,0
1514,0
1515,0
1516,1
1517,1
1518,0
1519,0
1520,1
1521,0
1522,0
1523,1
1524,0
1525,1
1526,1
1527,1
1528,0
1529,1
1530,0
1531,0
1532,1
1533,0
1534,0
1535,0
1536,1
1537,0
1538,0
1539,0
1540,1
1541,1
1542,0
1543,1
1544,0
1545,0
1546,1
1547,0
1548,1
1549,0
1550,1
1551,1
1552,0
1553,1
1554,0
1555,1
1556,1
1557,0
1558,1
1559,0
1560,1
1561,1
1562,0
1563,0
1564,1
1565,1
1566,1
1567,1
1568,0
1569,1
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,1
1577,1
1578,0
1579,1
1580,0
1581,1
1582,0
1583,1
1584,0
1585,1
1586,1
1587,1
1588,1
1589,0
1590,1
1591,1
1592,0
1593,0
1594,1
1595,1
1596,0
1597,1
1598,0
1599,0
1600,0
1601,0
1602,1
1603,0
1604,0
1605,1
1606,0
1607,0
1608,1
1609,1
1610,0
1611,1
1612,1
1613,1
1614,0
1615,0
1616,1
1617,1
1618,1
1619,0
1620,0
1621,0
1622,0
1623,1
1624,0
1625,0
1626,0
1627,1
1628,0
1629,1
1630,1
1631,0
1632,1
1633,1
1634,1
1635,0
1636,0
1637,1
1638,0
1639,1
1640,0
1641,0
1642,1
1643,0
1644,1
1645,0
1646,1
1647,0
1648,0
1649,0
1650,0
1651,0
1652,1
1653,1
1654,0
1655,0
1656,0
1657,0
1658,1
1659,0
1660,1
1661,0
1662,0
1663,1
1664,0
1665,1
1666,0
1667,1
1668,0
1669,0
1670,1
1671,1
1672,0
1673,0
1674,1
1675,0
1676,1
1677,0
1678,1
1679,1
1680,0
1681,0
1682,0
1683,1
1684,1
1685,0
1686,1
1687,1
1688,1
1689,0
1690,1
1691,0
1692,1
1693,0
1694,0
1695,1
1696,0
1697,1
1698,1
1699,0
1700,1
1701,0
1702,0
1703,1
1704,1
1705,0
1706,1
1707,0
1708,0
1709,0
1710,1
1711,1
1712,1
1713,1
1714,0
1715,0
1716,1
1717,0
1718,0
1719,1
1720,0
1721,0
1722,1
1723,1
1724,0
1725,1
1726,1
1727,1
1728,0
1729,1
1730,0
1731,1
1732,1
1733,0
1734,1
1735,1
1736,1
1737,1
1738,0
1739,0
1740,0
1741,0
1742,0
1743,1
1744,1
1745,0
1746,1
1747,0
1748,0
1749,1
1750,1
1751,0
1752,0
1753,1
1754,0
1755,0
1756,1
1757,0
1758,1
1759,0
1760,0
1761,0
1762,1
1763,1
1764,0
1765,0
1766,1
1767,1
1768,1
1769,1
1770,0
1771,1
1772,0
1773,0
1774,0
1775,1
1776,1
1777,0
1778,1
1779,1
1780,0
1781,1
1782,0
1783,1
1784,1
1785,0
1786,0
1787,1
1788,0
1789,0
1790,1
1791,1
1792,1
1793,0
1794,0
1795,0
1796,0
1797,0
1798,1
1799,1
1800,1
1801,0
1802,0
1803,1
1804,1
1805,1
1806,0
1807,0
1808,0
1809,0
1810,0
1811,1
1812,1
1813,1
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,1
1821,0
1822,0
1823,1
1824,0
1825,1
1826,1
1827,1
1828,1
1829,0
1830,0
1831,1
1832,1
1833,0
1834,1
1835,1
1836,1
1837,1
1838,0
1839,0
1840,1
1841,0
1842,0
1843,0
1844,0
1845,0
1846,1
1847,0
1848,1
1849,1
1850,1
1851,1
1852,0
1853,1
1854,1
1855,0
1856,1
1857,0
1858,0
1859,0
1860,0
1861,1
1862,0
1863,0
1864,1
1865,1
1866,0
1867,1
1868,1
1869,0
1870,0
1871,0
1872,0
1873,1
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,1
1881,1
1882,1
1883,1
1884,0
1885,0
1886,1
1887,1
1888,0
1889,0
1890,1
1891,1
1892,1
1893,1
1894,1
1895,0
1896,1
1897,0
1898,0
1899,0
1900,0
1901,1
1902,1
1903,0
1904,0
1905,0
1906,0
1907,1
1908,0
1909,0
1910,1
1911,1
1912,0
1913,1
1914,0
1915,0
1916,0
1917,0
1918,1
1919,0
1920,0
1921,1
1922,0
1923,1
1924,0
1925,0
1926,0
1927,0
1928,1
1929,0
1930,1
1931,0
1932,0
1933,1
1934,0
1935,1
1936,1
1937,0
1938,1
1939,1
1940,1
1941,0
1942,0
1943,0
1944,0
1945,1
1946,1
1947,1
1948,1
1949,0
1950,1
1951,0
1952,0
1953,1
1954,0
1955,1
1956,1
1957,1
1958,0
1959,0
1960,1
1961,0
1962,1
1963,1
1964,1
1965,1
1966,0
1967,1
1968,0
1969,0
1970,1
1971,0
1972,1
1973,1
1974,1
1975,0
1976,1
1977,1
1978,0
1979,1
1980,1
1981,1
1982,0
1983,1
1984,0
1985,1
1986,0
1987,1
1988,1
1989,1
1990,0
1991,1
1992,0
1993,1
1994,0
1995,1
1996,1
1997,1
1998,0
1999,1
2000,1
2001,1
2002,1
2003,0
2004,1
2005,1
2006,0
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,0
2016,0
2017,1
2018,1
2019,0
2020,1
2021,1
2022,0
2023,0
2024,0
2025,0
2026,1
2027,0
2028,0
2029,1
2030,1
2031,1
2032,0
2033,1
2034,1
2035,0
2036,0
2037,0
2038,1
2039,1
2040,0
2041,0
2042,0
2043,1
2044,1
2045,0
2046,0
2047,0
2048,0
2049,1
2050,0
2051,1
2052,1
2053,1
2054,1
2055,0
2056,1
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,1
2064,0
2065,0
2066,0
2067,0
2068,1
2069,1
2070,1
2071,1
2072,0
2073,1
2074,0
2075,0
2076,1
2077,0
2078,0
2079,0
2080,1
2081,1
2082,0
2083,0
2084,0
2085,1
2086,1
2087,1
2088,0
2089,1
2090,1
2091,0
2092,0
2093,0
2094,0
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,0
2102,0
2103,1
2104,0
2105,0
2106,1
2107,1
2108,1
2109,0
2110,0
2111,0
2112,0
2113,1
2114,1
2115,1
2116,0
2117,1
2118,1
2119,0
2120,1
2121,1
2122,1
2123,0
2124,1
2125,0
2126,0
2127,1
2128,0
2129,0
2130,0
2131,0
2132,1
2133,0
2134,1
2135,0
2136,1
2137,1
2138,0
2139,1
2140,1
2141,1
2142,1
2143,1
2144,0
2145,1
2146,0
2147,1
2148,1
2149,1
2150,0
2151,1
2152,0
2153,0
2154,0
2155,0
2156,0
2157,1
2158,0
2159,1
2160,0
2161,1
2162,0
2163,1
2164,0
2165,0
2166,1
2167,0
2168,0
2169,0
2170,1
2171,1
2172,0
2173,0
2174,1
2175,1
2176,0
2177,0
2178,1
2179,0
2180,1
2181,0
2182,1
2183,1
2184,1
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,1
2193,0
2194,1
2195,0
2196,0
2197,0
2198,1
2199,1
2200,0
2201,1
2202,0
2203,0
2204,1
2205,1
2206,1
2207,0
2208,1
2209,0
2210,0
2211,0
2212,0
2213,0
2214,1
2215,1
2216,1
2217,0
2218,0
2219,1
2220,1
2221,1
2222,0
2223,1
2224,0
2225,0
2226,0
2227,1
2228,1
2229,0
2230,0
2231,0
2232,1
2233,0
2234,1
2235,1
2236,1
2237,0
2238,1
2239,1
2240,0
2241,1
2242,1
2243,1
2244,0
2245,0
2246,1
2247,1
2248,1
2249,0
2250,1
2251,1
2252,0
2253,0
2254,0
2255,1
2256,0
2257,1
2258,0
2259,0
2260,1
2261,0
2262,1
2263,0
2264,0
2265,1
2266,1
2267,0
2268,0
2269,0
2270,0
2271,0
2272,1
2273,0
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,0
2282,1
2283,0
2284,0
2285,1
2286,0
2287,1
2288,0
2289,1
2290,1
2291,0
2292,1
2293,1
2294,0
2295,1
2296,0
2297,1
2298,0
2299,1
2300,1
2301,1
2302,0
2303,0
2304,0
2305,0
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,0
2313,1
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,1
2322,1
2323,1
2324,1
2325,0
2326,1
2327,0
2328,0
2329,0
2330,1
2331,1
2332,0
2333,1
2334,0
2335,1
2336,0
2337,1
2338,0
2339,0
2340,0
2341,1
2342,1
2343,0
2344,1
2345,0
2346,1
2347,1
2348,0
2349,1
2350,0
2351,1
2352,0
2353,0
2354,1
2355,1
2356,0
2357,0
2358,1
2359,0
2360,1
2361,0
2362,0
2363,0
2364,0
2365,1
2366,1
2367,0
2368,1
2369,0
2370,1
2371,0
2372,1
2373,0
2374,0
2375,1
2376,1
2377,1
2378,1
2379,1
2380,0
2381,1
2382,0
2383,1
2384,0
2385,0
2386,1
2387,1
2388,1
2389,0
2390,1
2391,1
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
